MADE BY @ALEXKATSON,,,,BUY ME A BEER,,,,,,,,,
Name,Position,School,Height,Weight,Hand,Arm,Wing,40,Bench,3-Cone,Shuttle,Vertical,Broad
Rex Goossen,LS,UNLV,6021,197,0878,3118,7368,DID NOT TEST - POSITIONAL ONLY,,,,,
Dedrick Parson,RB,Hawaii,5080,203,0828,2948,7168,4.68,24,7.08,4.40,31.5,0900
Zion Bowens,WR,Hawaii,5113,182,0918,3128,7578,4.56,17,7.22,4.36,31.5,0907
Jordan Murray,TE,Hawaii,6035,242,1038,3318,8018,4.73,16,7.19,4.31,34.5,1000
Austin Hopp,OT,Hawaii,6056,296,0948,3428,8358,5.51,13,7.97,5.07,26.5,0800
Ilm Manning,G,Hawaii,6021,294,0938,3258,8000,5.00,25,7.93,4.70,30.5,0902
Micah Vanterpool,G,Hawaii,6042,305,0868,3400,8148,5.29,16,8.11,5.08,24.5,0808
Blessman Ta'ala,IDL,Hawaii,6010,290,0978,3118,7518,5.13,28,7.86,5.05,29.5,0801
Kolby Wyatt,EDGE,Hawaii,6022,235,0858,3300,8028,4.90,14,7.41,4.65,31,0906
Penei Pavihi,LB,Hawaii,6022,249,0978,3128,7518,4.90,19,7.43,4.60,27.5,0809
Hugh Nelson II,S,Hawaii,6012,202,0900,3158,7468,4.70,10,7.11,4.53,34,0908
Aidan Borguet,RB,Harvard,5082,205,0958,2948,7268,4.58,35,7.29,4.37,36,0909
Truman Jones,EDGE,Harvard,6032,250,1028,3348,8138,4.68,17,7.30,4.38,37,1002
Jailen Branch,S,Bentley,5093,186,0900,3000,7348,4.62,15,6.90,4.30,32.5,0911
David Zorrilla,WR,Bryant,6003,210,0938,3178,7638,4.59,13,6.86,4.25,37.5,1002
Tyler Adams,WR,Butler,5112,195,0848,2958,7168,4.45,23,7.23,4.52,35.5,0910
Tyler Roberts,TE,Merrimack,6026,237,0968,3068,7600,4.75,22,7.31,4.20,31.5,0910
Rodney Samson,LB,Merrimack,6001,227,0968,3248,7948,4.81,21,7.20,4.43,34.5,0911
Anthony Witherstone,CB,Merrimack,5116,189,0928,3118,7528,4.62,14,7.15,4.28,35,1010
Connor Degenhardt,QB,New Haven,6052,227,0928,3068,7618,4.76,--,7.50,4.49,31.5,0906
Khalid Thomas,CB,Samford,5116,204,0948,3000,7428,4.63,17,7.23,4.32,34.5,0909
Brock Annexstad,WR,Illinois State,6004,205,0928,3058,7368,4.62,13,7.01,4.45,34.5,0908
Braydon Deming,TE,Illinois State,6031,245,0948,3200,7638,4.74,--,7.16,4.41,32,0907
Bryson Deming,TE,Illinois State,6031,239,0938,3200,7568,4.85,18,7.15,4.45,30.5,0907
Tanner Taula,TE,Illinois State,6063,252,0968,3328,8000,4.85,16,7.08,4.40,32,0904
Drew Bones,G,Illinois State,6047,323,0858,3218,7778,5.42,14,7.75,4.75,26.5,0806
Jason Lewan,IDL,Illinois State,6062,293,1138,3300,8100,5.07,24,7.65,4.68,31,0907
Zeke Vandenburgh,LB,Illinois State,6036,234,0968,3158,7700,4.80,24,7.06,4.42,34.5,1002
Sy Dabney,S,Illinois State,5116,188,0900,3158,7568,4.86,16,7.32,4.68,26.5,0902
Deandre Lamont,S,Illinois State,5094,190,0858,3128,7548,4.70,11,7.26,4.40,28.5,0904
Owen Wright,RB,Monmouth,5090,214,1000,3028,7400,4.61,16,7.04,4.35,34,--
Da'Quan Grimes,LB,Monmouth,5101,221,0978,3048,7338,4.81,25,7.24,4.70,33,0909
Kent Vines,LS,Monmouth,6005,249,0928,3168,7578,5.72,5,7.88,5.25,21.5,0708
Nate Cox,QB,Nevada,6092,225,0900,3318,8148,--,--,--,--,32.5,1000
Toa Taua,RB,Nevada,5084,204,0928,2828,7058,4.69,20,7.40,4.44,32.5,0900
BJ Casteel,WR,Nevada,5097,182,0918,2918,7228,4.51,7,7.27,4.30,36,1001
Bryce Petersen,C,Nevada,6015,292,0858,3058,7568,5.49,28,8.74,5.21,26,0711
PJ Huff,IDL,Nevada,6067,261,0918,3418,8548,5.30,--,8.50,5.28,25,0808
Dom Peterson,IDL,Nevada,6000,300,0858,2818,7428,5.08,29,8.00,4.78,27,0802
Tyriq Mack,CB,Nevada,5107,190,0928,2918,7128,4.66,10,7.25,4.15,34.5,1003
Christian Swint,CB,Nevada,5105,191,0938,2928,7300,4.80,11,7.40,4.51,36,0910
Bentlee Sanders,S,Nevada,5081,173,0938,2900,7018,4.41,10,7.32,4.46,33,0907
Tyson Williams,S,Nevada,5084,201,0878,2900,7028,4.59,16,7.51,4.56,34.5,0909
Troy James,IDL,Prairie View A&M,6015,299,0900,3468,7868,5.66,--,8.60,5.41,24,0709
Kevin Victorian,EDGE,Prairie View A&M,6017,238,0928,3200,7638,5.06,--,8.05,4.80,28.5,0810
Aidan O'Connell,QB,Purdue,6033,210,0968,3228,7628,DID NOT TEST - POSITIONAL ONLY,,,,,
Charlie Jones,WR,Purdue,5113,176,0900,3158,7400,--,--,6.84,4.15,--,--
Payne Durham,TE,Purdue,6055,255,0968,3338,8038,--,14,7.15,4.51,--,--
