MADE BY @ALEXKATSON,,,,BUY ME A BEER,,,,,,,,,
Name,Position,School,Height,Weight,Hand,Arm,Wing,40,Bench,3-Cone,Shuttle,Vertical,Broad
Bryce Bouwens,LS,Western Michigan,5102,237,0900,3018,7258,--,--,7.48,4.68,--,--
Tyler Kulka,K,Lawrence Tech,6002,223,0938,2978,7348,DID NOT TEST - POSITIONAL ONLY,,,,,
Hunter Johnson,QB,Clemson,6025,199,0978,3148,7738,4.71,--,7.06,4.44,35.5,1003
Joseph Ngata,WR,Clemson,6031,223,1028,3318,8038,--,15,7.29,4.22,33.5,1004
Davis Allen,TE,Clemson,6057,246,1000,3228,7968,--,--,7.31,4.45,--,--
Luke Price,TE,Clemson,6022,236,0900,3100,7678,5.07,29,7.43,4.56,31,0906
Jordan McFadden,OT,Clemson,6022,303,0948,3400,8100,--,24,--,--,--,--
Bryan Bresee,IDL,Clemson,6054,302,1028,3248,7848,--,--,7.41,4.38,28.5,--
Jabriel Robinson,IDL,Clemson,6024,273,,,,5.35,13,7.78,5.01,24.5,0811
KJ Henry,EDGE,Clemson,6042,251,1000,3300,7900,--,--,7.47,4.45,--,--
Myles Murphy,EDGE,Clemson,6046,268,0848,3368,8118,4.53,--,7.21,4.29,31,--
Jesiah Carlton,LB,Clemson,5111,239,0948,3000,7428,4.74,25,7.53,4.45,30.5,0903
Keith Maguire,LB,Clemson,6017,236,1048,3128,7628,4.79,30,7.34,4.25,30,0907
Trenton Simpson,LB,Clemson,6023,235,1028,3238,7748,--,--,7.07,4.25,40.5,0910
Elijah Rodgers,CB,Clemson,5113,182,,,,4.79,--,7.27,4.43,33,0911
BT Potter,K,Clemson,5096,185,0878,3038,7428,DID NOT TEST - POSITIONAL ONLY,,,,,
Maurice Washington,RB,Grambling State,5114,168,0918,3138,7618,DID NOT TEST - KNEE,,,,,
Noah Bean,TE,Grambling State,6013,225,0928,3328,8028,4.94,11,7.72,4.65,28.5,0902
Joshua Reed,LB,Grambling State,6004,227,0928,3068,7628,4.88,16,7.47,5.00,28.5,0900
Lawrence Asiedu,CB,Grambling State,5105,197,0848,3028,7238,4.98,16,7.65,4.90,28.5,0907
Rey Estes,CB,Grambling State,5114,160,0858,3228,7718,--,--,7.38,4.51,28.5,0901
Myron Stewart,CB,Grambling State,5113,178,0800,3128,7658,4.65,7,7.94,4.66,37.5,1007
Garrett Urban,K,Grambling State,5091,188,--,--,--,DID NOT TEST - POSITIONAL ONLY,,,,,
Kevin Dominique,RB,NW Missouri State,5114,224,0978,3168,7748,4.83,19,7.96,4.80,32,0903
Parker McNeil,QB,Louisiana Tech,6046,224,--,--,--,DID NOT TEST - FINGER,,,,,
Praise Okorie,WR,Louisiana Tech,5092,180,0848,2878,7338,4.83,11,7.20,4.65,30.5,0907
Griffin Hebert,TE,Louisiana Tech,6014,239,0968,3148,7628,4.58,27,6.95,4.27,39.5,1002
Josh Mote,G,Louisiana Tech,6024,307,0928,3048,7558,5.22,25,7.83,4.81,31.5,0808
Myles Brooks,CB,Louisiana Tech,6006,201,0948,3068,7448,4.51,--,7.27,4.51,35,1001
Marquallius Turner,CB,Louisiana Tech,5086,179,0748,3018,7168,4.69,11,7.25,4.62,33.5,0902
Jaiden Cole,S,Louisiana Tech,5112,194,0838,3218,7568,4.79,--,7.34,4.66,31.5,0907
Myles Mason,S,Louisiana Tech,6017,206,0900,3048,7458,4.78,16,7.33,4.53,34.5,0906
Bee Jay Williamson,S,Louisiana Tech,6000,191,0838,3058,7458,4.63,--,7.18,4.56,35,1002
Andrew Clair,RB,Northwestern,5086,201,0928,3000,7268,4.56,24,7.01,4.31,42,1008
Evan Hull,RB,Northwestern,5101,209,0928,3058,7438,--,--,6.94,4.22,--,--
Donny Navarro III,WR,Northwestern,5100,182,0918,2968,6978,4.73,14,6.87,4.05,36.5,0909
Peter Skoronski,OT,Northwestern,6040,313,1000,3228,7948,DID NOT TEST - COMBINE,,,,,
Vince Picozzi,G,Northwestern,6033,312,0938,3278,7958,5.37,30,7.89,4.70,33.5,0904
Taishan Holmes,IDL,Northwestern,6020,322,0918,3138,7638,5.62,23,8.14,4.89,24.5,--
Adetomiwa Adebawore,EDGE,Northwestern,6015,282,1048,3378,8158,--,--,7.13,4.26,--,--
Wendell Davis Jr.,LB,Northwestern,6007,247,0838,3138,7668,4.88,18,7.53,4.41,29.5,0902
Cameron Mitchell,CB,Northwestern,5106,197,0968,3138,7618,--,--,6.89,4.06,--,--
Adam Stage,K,Northwestern,5087,199,0858,2778,6900,5.32,--,--,--,--,--
Cameron Moore,WR,Aurora (IL),5102,185,0918,3168,7768,4.66,12,7.15,4.31,31,1000
Chris Toth,OT,Aurora (IL),6061,307,1058,3228,7978,5.10,19,7.90,4.74,31.5,0900
Gannon Grider,G,Benedictine (IL),6044,301,1028,3400,8148,5.46,--,--,--,--,--
Jay Vallie,TE,Eastern Illinois,6023,246,0938,3348,7638,4.92,--,--,--,--,--
Javion Caldwell,OT,Grand View,6047,302,1028,3468,8268,5.17,14,8.15,4.97,29,0900
Toriano Clinton,RB,Indianapolis,5084,187,0958,2818,7058,4.65,--,--,--,--,--
Turner Pullen,QB,McKendree,6015,219,0938,3268,7518,4.74,--,--,--,--,--
Kenny Thomason,G,McKendree,6037,313,0918,3200,7718,5.46,--,--,--,--,--
Ethan Greenfield,RB,North Central,5086,206,0868,2968,7100,4.78,18,7.28,4.40,29.5,0903
Tyler Hoosman,RB,North Dakota,5112,214,0938,2978,7238,4.56,20,7.09,4.30,35.5,1002
BJ Wilson,OT,Quincy,6055,337,--,--,--,DID NOT TEST - ACHILLES,,,,,
Zavier Barnes,LB,Roosevelt,5115,237,0958,3148,7458,4.89,--,--,--,--,--
Mason Laramie,K,Western Illinois,6016,217,0948,2968,7248,5.00,17,--,--,--,--
Jaylen Schleicher,TE,Winona State,6042,244,1058,3358,7938,4.89,--,--,--,--,--
Chase Cota,WR,Oregon,6032,201,0968,3200,7678,4.51,10,6.86,4.14,37.5,1006
Malaesala Aumavae-Laulu,OT,Oregon,6054,317,1048,3448,8278,5.12,18,--,--,--,0807
TJ Bass,G,Oregon,6043,321,0928,3238,7900,DID NOT TEST - COMBINE,,,,,
Ryan Walk,G,Oregon,6015,294,0938,3028,7400,5.10,28,7.63,4.58,31,0900
Alex Forsyth,C,Oregon,6037,303,1028,3268,8138,DID NOT TEST - COMBINE,,,,,
Jordon Riley,IDL,Oregon,6053,338,1000,3338,8128,5.31,--,8.21,4.76,25,0806
DJ Johnson,EDGE,Oregon,6040,260,0900,3328,8018,--,--,7.33,4.51,31,0907
Noah Sewell,LB,Oregon,6014,246,1000,3158,7638,--,--,7.28,4.37,--,--
Christian Gonzalez,CB,Oregon,6013,197,0948,3200,7678,DID NOT TEST - COMBINE,,,,,
Bennett Williams,S,Oregon,6000,206,1038,3118,7548,4.68,16,7.03,4.25,34,1002
Adam Barry,P,Oregon,6060,221,1000,3318,7958,4.94,--,--,--,28,0905
Karsten Battles,LS,Oregon,6010,256,0958,3118,7638,5.44,10,8.20,4.92,25.5,0803
Haaziq Daniels,QB,Air Force,6002,209,0928,3078,7600,4.68,17,7.24,4.43,37.5,0910
Brad Roberts,RB,Air Force,5107,210,0928,2900,7268,4.63,--,7.31,4.48,36,1000
Kyle Patterson,TE,Air Force,6051,260,0928,3248,7828,--,17,--,--,--,--
Isaac Cochran,G,Air Force,6051,324,0958,3300,8048,5.48,22,7.84,4.92,26.5,0807
Josh Johnston,WR,Colorado Mines,6005,194,0928,2958,7238,4.68,19,6.78,4.14,38.5,1010
Matt Armendariz,C,Colorado Mines,6002,297,0948,3168,7848,5.80,25,7.92,4.82,27.5,0800
Mason Pierce,CB,Colorado Mines,5100,169,0838,2838,6838,4.49,10,6.84,4.18,34.5,1002
Eric Black,EDGE,Stony Brook,6033,244,1028,3338,8028,4.78,21,7.25,4.44,34.5,0910
Lew Nichols III,RB,Central Michigan,5101,220,0900,3128,7518,4.61,22,7.43,4.20,37,0907
Carlos Carriere,WR,Central Michigan,6053,205,0878,3200,7700,4.64,4,7.10,4.42,33,0910
Dallas Dixon,WR,Central Michigan,6013,203,0958,3168,7700,4.64,14,7.07,4.23,35.5,0909
Joel Wilson,TE,Central Michigan,6035,242,1028,3258,7748,--,11,7.10,4.24,33,0906
Jeremy Saddler,G,Central Michigan,6024,326,1018,3238,7948,5.72,24,7.56,5.12,20.5,0706
Jamezz Kimbrough,C,Central Michigan,6017,296,1018,3238,7948,--,24,7.56,4.94,28,0804
John Wesley Whiteside,IDL,Central Michigan,5113,288,0918,3228,7900,5.64,26,7.62,5.12,26,0801
Thomas Incoom,EDGE,Central Michigan,6020,262,0868,3328,7878,--,--,7.10,4.33,--,--
Ronald Kent Jr.,CB,Central Michigan,5090,177,0838,3018,7228,4.61,13,7.31,4.44,32.5,0908
Amir Siddiq,EDGE,Charlotte,6033,239,1028,3238,7928,4.61,24,7.08,4.48,39,0907
Jake Witt,OT,Northern Michigan,6071,302,1018,3348,8058,4.89,22,7.44,4.62,37,1003
Nick Whiteside,CB,Saginaw Valley State,6000,200,0918,3248,7768,--,8,7.09,4.24,30.5,0911
Kole Murlin,LB,Siena Heights,6033,242,0938,3128,7500,4.77,36,7.85,4.53,30.5,0904
Armand Childs,CB,Siena Heights,5086,172,0858,3018,7248,4.69,--,7.55,4.64,33,1001
Daniel Arias,WR,Colorado,6034,208,0900,3328,7900,4.52,9,7.09,4.27,38,1007
Brady Russell,TE,Colorado,6027,247,0918,3448,7900,4.75,21,7.25,4.37,34.5,0909
Terrance Lang,IDL,Colorado,6040,282,0938,3468,8268,5.02,18,7.76,4.72,29.5,0904
Jamar Montgomery,EDGE,Colorado,6015,241,1048,3200,7768,4.92,18,7.21,4.45,31.5,0904
Guy Thomas,EDGE,Colorado,6023,232,0928,3328,8000,4.69,17,7.59,4.52,33,1000
Robert Barnes,LB,Colorado,6024,221,0928,3200,7900,--,19,--,--,35.5,0911
Josh Chandler-Semedo,LB,Colorado,5104,223,0928,3148,7528,4.79,--,7.57,4.53,33,0908
Quinn Perry,LB,Colorado,6010,244,0878,3068,7548,4.81,--,7.19,4.39,32.5,0811
Isaiah Lewis,S,Colorado,5111,190,0928,2948,7400,4.68,--,7.07,4.13,35.5,0911
Darrious Gaines,CB,Western Colorado,6010,193,0918,3200,7828,4.59,10,7.12,4.46,33.5,1000
Stetson Bennett IV,QB,Georgia,5113,192,1000,2878,7200,DID NOT TEST - COMBINE,,,,,
Kenny McIntosh,RB,Georgia,6002,216,0900,3048,7638,4.70,--,7.69,4.69,32.5,0905
Kearis Jackson,WR,Georgia,5113,196,0938,3128,7500,DID NOT TEST - COMBINE,,,,,
Darnell Washington,TE,Georgia,6065,272,1100,3438,8368,DID NOT TEST - COMBINE,,,,,
Broderick Jones,OT,Georgia,6053,313,1058,3468,8268,DID NOT TEST - COMBINE,,,,,
Warren McClendon Jr.,OT,Georgia,6041,306,1000,3448,8268,--,20,--,--,--,--
Warren Ericson,C,Georgia,6041,305,0968,3238,7878,--,23,8.21,4.75,24,0800
Jalen Carter,IDL,Georgia,6030,323,1028,3348,8100,DID NOT TEST - CHOICE,,,,,
Robert Beal Jr.,EDGE,Georgia,6036,247,1018,3458,8228,--,14,7.26,4.42,31.5,--
Nolan Smith,EDGE,Georgia,6022,238,0900,3258,8100,DID NOT TEST - COMBINE,,,,,
Kelee Ringo,CB,Georgia,6016,207,0848,3128,7418,--,10,7.21,4.26,33.5,1002
William Poole,S,Georgia,5116,201,0918,3148,7800,4.58,15,7.22,4.41,28.5,1000
Chris Smith II,S,Georgia,5105,192,0958,3118,7500,--,--,7.45,4.41,--,--
Jack Podlesny,K,Georgia,6003,194,0918,2958,7458,DID NOT TEST - POSITIONAL ONLY,,,,,
Matt Landers,WR,Arkansas,6043,200,0928,3248,7918,--,--,6.86,4.32,--,--
Ameer Speed,CB,Michigan State,6033,209,0858,3258,7868,4.34,14,6.99,4.26,32.5,1003
Jaden Hunter,LB,Western Kentucky,6014,236,0968,3238,7918,4.82,22,7.52,4.72,29.5,0907
Chavis Marshall,WR,Kennesaw State,6017,191,0968,3218,7738,4.55,11,7.32,4.52,32.5,1002
Travis Bell,IDL,Kennesaw State,6000,310,1000,3258,7678,5.03,30,7.99,4.58,32.5,0902
Desmond Scott,IDL,Kennesaw State,5114,300,1000,3200,7748,5.37,20,--,--,29.5,0807
Stephan Pierre,LB,Albany State,6005,205,--,--,--,DID NOT TEST - CHOICE,,,,,
James Hawkins,CB,Albany State,5085,194,0948,3178,7518,4.84,11,8.05,5.08,33,0809
Devon McCoy,WR,Clark Atlanta,6040,221,0958,3248,7728,4.66,13,7.83,4.76,30,0904
Terrance Harris,S,Clark Atlanta,6007,193,0948,3300,7658,5.01,--,7.99,4.75,29,0906
Emanuel Wilson,RB,Fort Valley State,5104,226,0900,3328,7918,4.57,--,7.23,4.39,34.5,1000
Tyler Moore,S,Fort Valley State,5107,177,0958,3148,7538,4.69,--,7.46,4.57,31.5,0911
Fred Payton,QB,Mercer,6005,210,0948,3158,7558,4.95,--,7.46,4.78,31.5,--
Drake Starks,TE,Mercer,6020,224,1000,3200,7748,4.87,12,7.53,4.44,30.5,0907
Michael Campbell,CB,Mercer,5113,181,0918,3100,7358,4.66,11,7.62,4.51,37,1000
Aaron Anderson,LB,Point,5111,205,0948,3058,7248,4.89,14,7.56,4.95,31.5,0903
Marlon Jackson,EDGE,Savannah State,6020,223,0900,3328,7778,4.93,10,8.20,4.95,31,0906
Kolby Reynolds,S,Shorter,5100,183,0958,3200,7828,4.95,10,7.60,4.66,32,0900
Ivory Durham,RB,Valdosta State,5083,199,0948,3100,7178,4.63,--,7.79,4.74,34,0908
Jamar Thompkins,RB,Valdosta State,5093,199,0828,3158,7618,4.75,--,7.72,4.46,29.5,0902
Victor Talley,WR,Valdosta State,6030,216,0918,3400,7948,4.80,15,7.59,4.50,31,0907
Jeremiah Campbell,G,Valdosta State,6056,381,0900,3428,8378,6.49,18,9.45,5.69,20.5,0610
Robert Carter,CB,West Georgia,5112,187,0868,2968,7068,4.74,17,7.95,4.85,35.5,0902
Raymond James,WR,Kent State,5106,178,0918,3018,7178,4.98,--,7.34,4.58,27,0810
Kris Leach,TE,Kent State,6054,252,0900,3328,7838,4.90,19,7.39,4.45,33,0904
Zayn West,IDL,Kent State,6006,273,0928,3200,7738,5.15,14,7.50,4.67,27.5,0809
Savion Taylor-Davis,EDGE,Kent State,6000,228,0900,3328,7728,4.88,18,7.23,4.48,33.5,0911
Marvin Pierre,LB,Kent State,6014,222,0948,3248,7938,4.57,--,7.31,4.25,40.5,1101
Nico Bolden,S,Kent State,6033,208,0928,3038,7248,4.44,11,7.04,4.33,41,1007
Chris Smith,RB,Louisiana,5085,194,0878,3038,7238,4.49,12,7.20,4.44,36,0910
Jamal Bell,WR,Louisiana,6000,191,0968,3028,7548,4.76,7,7.30,4.49,29,0811
Michael Jefferson,WR,Louisiana,6036,199,0958,3248,7938,--,--,6.94,4.43,--,--
John Stephens Jr.,WR,Louisiana,6054,232,1018,3348,8028,4.67,20,7.19,4.37,36,1003
Johnny Lumpkin,TE,Louisiana,6053,264,1028,3528,8448,4.81,13,7.48,4.53,32,1000
Andre Landry,IDL,Louisiana,6036,288,0948,3258,7838,5.22,14,8.20,5.05,24,0804
Ja-Quane Nelson,IDL,Louisiana,6025,304,1028,3228,7948,5.47,--,7.95,4.90,26,0810
Andre Jones,EDGE,Louisiana,6044,248,1000,3428,8128,DID NOT TEST - HAMSTRING,,,,,
Kris Moncrief,LB,Louisiana,6007,236,0938,3558,7858,4.77,--,7.22,4.67,32.5,0907
Jordan Quibodeaux,LB,Louisiana,5114,211,0978,3078,7500,4.70,14,7.20,4.46,27,0901
Eric Garror,CB,Louisiana,5077,174,0838,2928,7038,4.57,10,6.97,4.29,33,0905
Jayrin Wilson,CB,Louisiana,5093,168,0938,3048,7318,4.58,3,6.75,4.25,30,0905
Bralen Trahan,S,Louisiana,5111,196,0900,3138,7468,4.58,11,7.12,4.32,32,0904
Rhys Burns,P,Louisiana,5111,191,--,--,--,DID NOT TEST - POSITIONAL ONLY,,,,,
Jarek Broussard,RB,Michigan State,5083,192,0838,2868,6818,4.66,13,7.32,4.47,32.5,0909
Jayden Reed,WR,Michigan State,5107,191,0918,3048,7318,--,13,--,--,--,--
Daniel Barker,TE,Michigan State,6032,243,1028,3348,8078,4.75,16,--,--,34,0909
Tyler Hunt,TE,Michigan State,6024,245,0900,3038,7458,4.72,26,7.33,4.67,33.5,0908
Jarrett Horst,OT,Michigan State,6054,298,0928,3328,8268,5.33,24,7.95,4.75,28,0809
Matt Carrick,G,Michigan State,6042,320,0968,3328,8048,5.65,28,8.52,5.03,25,0803
Jacob Slade,IDL,Michigan State,6031,285,0948,3238,8100,4.95,24,7.63,4.52,31,0902
Ben VanSumeren,LB,Michigan State,6020,231,0928,3100,7648,4.45,29,7.10,4.46,42.5,1011
Ronald Williams,CB,Michigan State,6011,188,0938,3238,7848,4.70,11,7.32,4.63,32.5,0911
Kendell Brooks,S,Michigan State,5115,206,0868,3128,7468,4.45,17,7.27,4.32,35.5,1005
Xavier Henderson,S,Michigan State,6004,203,0928,3048,7500,4.57,15,7.38,4.51,36,1000
Bryce Baringer,P,Michigan State,6016,216,0900,3048,7428,DID NOT TEST - POSITIONAL ONLY,,,,,
Marouf Hamade,G,Ferris State,6017,302,0938,3128,7568,5.40,34,7.95,4.85,26.5,0801
Adam Sieler,G,Ferris State,6042,313,0900,3318,7868,--,31,--,--,22.5,0800
Caleb Murphy,EDGE,Ferris State,6032,263,1028,3268,7928,--,17,--,--,31,--
John Hall,WR,Northwood,6035,194,0900,3300,8158,4.59,--,7.00,4.44,37.5,1002
Tanner Morgan,QB,Minnesota,6003,204,0948,2978,7348,4.97,--,7.23,4.45,30,0908
Mohamed Ibrahim,RB,Minnesota,5076,203,0900,2858,6958,DID NOT TEST - CHOICE,,,,,
Chuck Filiaga,G,Minnesota,6055,321,1028,3448,8348,5.34,24,7.67,4.78,29,0805
Axel Ruschmeyer,G,Minnesota,6036,295,0938,3118,7628,5.42,12,--,5.03,26.5,0803
John Michael Schmitz,C,Minnesota,6034,301,0948,3258,7838,DID NOT TEST - COMBINE,,,,,
Thomas Rush,EDGE,Minnesota,6031,251,0948,3128,7678,4.57,19,7.04,4.22,35.5,1003
Mariano Sori-Marin,LB,Minnesota,6020,236,0948,3118,7618,4.64,16,7.17,4.27,35,0909
Terell Smith,CB,Minnesota,6004,204,0900,3278,7668,--,--,7.00,4.34,--,--
Jordan Howden,S,Minnesota,5115,203,0948,3228,7718,--,--,6.87,4.22,39.5,--
Matthew Trickett,K,Minnesota,5110,190,0818,2878,7138,DID NOT TEST - POSITIONAL ONLY,,,,,
Travis Sinclair,G,Bethel (MN),6037,316,0978,3258,8058,5.62,20,7.90,4.81,26.5,0803
Armani Carmickle,WR,Minnesota Duluth,6007,201,0948,3228,7728,4.62,12,6.97,4.27,34.5,0909
Zach Ojile,TE,Minnesota Duluth,6000,241,0848,3148,7548,4.80,20,7.27,4.40,31.0,0901
Brent Laing,G,Minnesota Duluth,6037,304,0968,3238,7868,5.19,--,7.63,4.65,28.0,0806
Jalen Sample,WR,Minnesota State,6037,198,0958,3258,7848,4.65,7,6.85,4.20,32,1003
Alijah McGhee,S,Minnesota State,6007,199,0938,3038,7438,4.57,16,6.94,4.06,36.5,1006
Garett Maag,WR,North Dakota,6035,206,0928,3178,7758,4.50,14,6.90,4.34,40.5,1005
Matt Weimann,C,St. Thomas (MN),6027,307,0918,3228,7718,5.17,19,7.68,4.69,28,0805
Dorian Thompson-Robinson,QB,UCLA,6015,203,0978,3058,7468,DID NOT TEST - COMBINE,,,,,
Zach Charbonnet,RB,UCLA,6003,222,0978,3200,7558,--,--,7.16,4.46,--,--
Kazmeir Allen,WR,UCLA,5083,183,0868,2918,7138,4.55,17,7.09,4.41,31,0906
Jake Bobo,WR,UCLA,6040,206,1000,3228,7828,4.99,--,7.09,4.40,36,0909
Michael Ezeike,TE,UCLA,6052,241,0900,3418,8178,4.74,16,7.64,4.59,33,0907
Raiqwon O'Neal,OT,UCLA,6034,300,0928,3378,8200,5.03,23,7.69,4.50,28.5,0811
Jon Gaines II,G,UCLA,6040,303,1018,3358,8128,--,19,--,--,--,--
Atonio Mafi,G,UCLA,6025,329,--,--,--,--,21,--,--,--,--
Jacob Sykes,IDL,UCLA,6026,282,1018,3268,7958,4.94,27,7.45,4.48,32,0902
Bo Calvert,LB,UCLA,6034,230,0928,3158,7558,4.80,22,7.19,4.50,31,0906
Shea Pitts,LB,UCLA,5113,205,0868,3148,7578,4.91,--,7.19,4.51,32,0903
Azizi Hearn,CB,UCLA,6004,206,0878,3148,7458,4.48,18,6.92,4.23,37.5,1007
Stephan Blaylock,S,UCLA,5100,204,0948,3158,7448,4.75,21,7.22,4.46,31,0910
Mo Osling III,S,UCLA,6007,195,0878,3238,7918,4.59,16,7.04,4.22,33.5,1005
Jack Landherr IV,LS,UCLA,6011,243,0938,3178,7578,5.17,20,7.60,4.75,30,0908
Paiton Fears,OT,Arizona,6050,315,0958,3528,8248,5.69,15,8.32,5.21,20,0800
Josh Donovan,G,Arizona,6045,312,0948,3318,7948,5.48,20,8.21,5.22,--,--
Hunter Echols,EDGE,Arizona,6043,249,0978,3438,8228,4.96,30,7.40,4.50,30,0905
Jalen Harris,EDGE,Arizona,6043,257,1028,3418,8278,4.70,18,7.07,4.39,35.5,0909
Dante Smith,LB,Arizona,5104,225,0928,3048,7400,4.89,21,7.83,4.66,33,0904
Christian Young,S,Arizona,6010,221,0928,3128,7700,4.60,14,7.40,4.43,31.5,0908
Maurice Bellan,RB,Army,5093,183,0878,2900,7328,4.80,11,7.57,4.53,33.5,0811
Braheam Murphy,RB,Army,5102,176,0968,3148,7500,4.74,11,7.19,4.41,34.5,1001
Kwabena Bonsu,IDL,Army,6025,267,1000,3400,8100,5.21,16,7.72,4.75,24.5,0802
Andre Carter II,EDGE,Army,6064,256,0938,3338,8100,4.93,--,6.97,4.29,--,--
Isaiah Morris,CB,Army,5097,179,0828,3128,7448,4.66,16,7.38,4.53,36.5,1001
Marquel Broughton,S,Army,5091,194,0900,3078,7548,4.74,14,7.25,4.47,31,0904
Carlton Aiken,QB,Pace,6010,220,0928,3268,7978,4.90,--,--,--,28.5,0901
Kevin Toote,C,Pace,6011,294,0938,3158,7900,5.46,24,7.72,4.71,26.5,0806
Dustin Huseinovic,LB,Pace,6000,219,0868,2948,7128,4.80,16,7.41,4.43,27.5,0903
Brennan Ray,S,Montclair State,6000,190,0938,3128,7538,4.80,10,7.89,4.76,28.5,0907
Titus Leo,EDGE,Wagner,6030,245,1018,3418,8158,4.69,20,7.30,4.37,34,1009
Justin Marshall,WR,Buffalo,6016,205,0958,3268,7748,4.48,14,7.15,4.81,38,1006
Jovany Ruiz-Navarro,WR,Buffalo,5113,200,0958,2948,7248,4.62,15,7.26,4.32,40.5,1002
Quian Williams,WR,Buffalo,5113,190,1000,2968,7038,4.62,12,6.88,4.26,36,1002
Robbie Mangas,TE,Buffalo,6024,250,0978,3100,7728,4.93,14,7.15,4.50,33,0902
Desmond Bessent,OT,Buffalo,6063,326,0948,3400,8048,5.45,19,--,--,27,0708
Will Swope,G,Buffalo,6051,322,0938,3258,7768,5.88,16,8.45,5.37,23.5,0707
Damian Jackson,EDGE,Buffalo,6010,251,0948,3138,7838,4.95,24,7.21,4.45,33.5,0907
Willie Hampton,LB,Buffalo,5117,213,1000,3218,7778,4.94,15,7.50,4.75,30,0903
James Patterson,LB,Buffalo,5101,229,0900,2948,7048,4.91,--,7.21,4.51,30,0810
Elijah Blades,CB,Buffalo,6014,187,0868,3148,7728,4.58,--,--,4.57,34.5,1001
Isaiah King,CB,Buffalo,5095,187,0848,3100,7318,4.47,13,7.14,4.67,39,1003
Jahmin Muse,S,Buffalo,6000,206,0958,3200,7500,4.59,20,7.20,4.50,38,1007
Dylan Powell,S,Buffalo,6023,206,0858,3228,7738,4.75,10,7.33,4.57,38,1004
Lake Korte-Moore,EDGE,British Columbia,6040,266,0900,3038,7438,4.95,19,7.27,,34.5,0910
Luke Dunsmoor,IDL,Concordia St. Paul,6032,282,0900,3258,7728,5.07,18,7.55,4.59,28,0806
Alex Andrade,S,Concordia St. Paul,5104,201,0878,3058,7400,4.73,16,7.15,4.27,31,0807
Brendan Beaulieu,WR,Bemidji State,6021,216,0978,3168,7468,4.70,17,7.42,4.25,34.5,0909
Siriman Harrison-Bagayogo,CB,Guelph,6012,191,0900,3138,7458,4.63,9,7.25,4.66,36.5,1002
Adrian Tolbert,WR,SW Minnesota State,6034,225,0868,3468,7700,4.85,15,7.55,4.46,33.5,0810
Onte Burns,LB,SW Minnesota State,5103,209,0828,3228,7548,4.69,17,7.48,4.26,36.5,1000
Alan Giron,S,SW Minnesota State,5091,192,0918,3000,7168,4.99,17,7.68,4.39,30,0903
Elijah Reed,G,CSU Pueblo,6041,310,1018,3318,8218,5.25,21,7.80,4.76,28,--
Trey Botts,IDL,CSU Pueblo,6024,284,0918,3218,7800,4.99,30,7.52,4.72,30,0908
Momar Fall,IDL,CSU Pueblo,6050,305,1000,3358,8200,5.03,26,--,--,28,0811
Elijah Harper,WR,Adams State,6033,203,0918,3218,7618,4.78,7,7.14,4.59,30.5,0908
Jean Marcellus,G,Adams State,6036,322,0958,3428,8218,5.99,22,8.67,5.10,19,0703
Dagan Rienks,TE,Colorado Mesa,6055,251,0968,3428,8200,5.02,9,7.47,4.60,29,0904
Taylor Powell,QB,Eastern Michigan,6001,202,0948,2900,7258,4.91,--,7.32,4.57,26.5,--
Hassan Beydoun,WR,Eastern Michigan,5076,176,0928,2948,--,4.73,6,6.74,4.40,32,0904
Dylan Drummond,WR,Eastern Michigan,6003,194,0900,3100,7528,4.62,11,6.86,4.33,33,0909
Gunnar Oakes,TE,Eastern Michigan,6041,252,0958,3138,7700,4.94,24,6.98,4.38,30.5,0909
Richard Bates Jr.,G,Eastern Michigan,6016,292,0900,3218,7900,5.31,20,7.59,4.85,26,0807
Sidy Sow,G,Eastern Michigan,6046,323,1038,3358,8100,--,27,--,--,--,--
Jordan Crawford,IDL,Eastern Michigan,5110,295,1018,2958,7418,5.49,19,8.29,5.06,23,0802
Jose Ramirez,EDGE,Eastern Michigan,6017,252,0868,3268,7858,--,--,--,4.47,--,--
Brandon Benson,S,Eastern Michigan,5116,194,0928,3028,7538,4.88,11,7.71,4.56,31,0909
Russell Vaden IV,S,Eastern Michigan,6012,213,0948,3200,7818,4.74,11,7.35,4.32,34,1002
Tucker Gregg,RB,Georgia State,5096,212,0958,2848,6838,4.90,21,7.47,4.53,32.5,0903
Jamyest Williams,RB,Georgia State,5080,188,0838,2868,6858,4.73,17,7.51,4.46,36,0907
Pat Bartlett,G,Georgia State,6042,306,0948,3278,7718,6.16,8,8.70,5.46,20.5,0708
Malik Sumter,C,Georgia State,6005,299,0978,3100,7400,5.21,--,8.22,4.64,24,0711
Quavian White,CB,Georgia State,5084,185,0928,3038,7400,4.52,9,7.03,4.13,37.5,1003
Jacorey Crawford,S,Georgia State,5110,207,0968,3000,7100,4.61,20,7.27,4.51,37.5,0909
Hassan Hall,RB,Georgia Tech,5102,196,0948,3048,7458,4.46,18,7.21,4.00,37,1010
Malachi Carter,WR,Georgia Tech,6017,191,0928,3238,7568,4.71,12,7.19,4.38,31,1000
EJ Jenkins,TE,Georgia Tech,6060,245,0958,3418,8178,4.62,14,7.52,4.38,32,1002
William Lay III,G,Georgia Tech,6013,275,0968,3038,7600,5.85,18,8.30,5.01,22.5,0710
Keion White,EDGE,Georgia Tech,6047,281,1018,3400,8000,4.79,--,--,--,--,--
